PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,label
36584672,Integrated multi-omics profiling yields a clinically relevant molecular classification for esophageal squamous cell carcinoma,"Liu Z, Zhao Y, Kong P, Liu Y, Huang J, Xu E, Wei W, Li G, Cheng X, Xue L, Li Y, Chen H, Wei S, Sun R, Cui H, Meng Y, Liu M, Li Y, Feng R, Yu X, Zhu R, Wu Y, Li L, Yang B, Ma Y, Wang J, Zhu W, Deng D, Xi Y, Wang F, Li H, Guo S, Zhuang X, Wang X, Jiao Y, Cui Y, Zhan Q.",Cancer Cell. 2023 Jan 9;41(1):181-195.e9. doi: 10.1016/j.ccell.2022.12.004. Epub 2022 Dec 29.,Liu Z,Cancer Cell,2023,30/12/2022,,,10.1016/j.ccell.2022.12.004,CDK
36637424,SETDB1 Modulates Degradation of Phosphorylated RB and Anticancer Efficacy of CDK4/6 Inhibitors,"Huang Z, Li X, Tang B, Li H, Zhang J, Sun R, Ma J, Pan Y, Yan B, Zhou Y, Ding D, Yan Y, Jimenez R, Orme JJ, Jin X, Yang J, Huang H, Jia Z.",Cancer Res. 2023 Mar 15;83(6):875-889. doi: 10.1158/0008-5472.CAN-22-0264.,Huang Z,Cancer Res,2023,13/1/2023,,,10.1158/0008-5472.CAN-22-0264,CDK
36030016,Resistance to CDK4/6 inhibition: Mechanisms and strategies to overcome a therapeutic problem in the treatment of hormone receptor-positive metastatic breast cancer,"Papadimitriou MC, Pazaiti A, Iliakopoulos K, Markouli M, Michalaki V, Papadimitriou CA.",Biochim Biophys Acta Mol Cell Res. 2022 Dec;1869(12):119346. doi: 10.1016/j.bbamcr.2022.119346. Epub 2022 Aug 24.,Papadimitriou MC,Biochim Biophys Acta Mol Cell Res,2022,27/8/2022,,,10.1016/j.bbamcr.2022.119346,CDK
35583555,"VERONICA: Randomized Phase II Study of Fulvestrant and Venetoclax in ER-Positive Metastatic Breast Cancer Post-CDK4/6 Inhibitors - Efficacy, Safety, and Biomarker Results","Lindeman GJ, Fernando TM, Bowen R, Jerzak KJ, Song X, Decker T, Boyle F, McCune S, Armstrong A, Shannon C, Bertelli G, Chang CW, Desai R, Gupta K, Wilson TR, Flechais A, Bardia A.",Clin Cancer Res. 2022 Aug 2;28(15):3256-3267. doi: 10.1158/1078-0432.CCR-21-3811.,Lindeman GJ,Clin Cancer Res,2022,18/5/2022,PMC9662928,,10.1158/1078-0432.CCR-21-3811,CDK
35948546,Targeting the Retinoblastoma/E2F repressive complex by CDK4/6 inhibitors amplifies oncolytic potency of an oncolytic adenovirus,"Koch J, Schober SJ, Hindupur SV, Schöning C, Klein FG, Mantwill K, Ehrenfeld M, Schillinger U, Hohnecker T, Qi P, Steiger K, Aichler M, Gschwend JE, Nawroth R, Holm PS.",Nat Commun. 2022 Aug 10;13(1):4689. doi: 10.1038/s41467-022-32087-5.,Koch J,Nat Commun,2022,10/8/2022,PMC9365808,,10.1038/s41467-022-32087-5,CDK
35395071,Functional Genomic Analysis of CDK4 and CDK6 Gene Dependency across Human Cancer Cell Lines,"Zhang Z, Golomb L, Meyerson M.",Cancer Res. 2022 Jun 6;82(11):2171-2184. doi: 10.1158/0008-5472.CAN-21-2428.,Zhang Z,Cancer Res,2022,8/4/2022,PMC9618034,NIHMS1799066,10.1158/0008-5472.CAN-21-2428,CDK
36978197,CDK4/6 inhibitor modulating active and quiescent intestinal stem cells for prevention of chemotherapy-induced diarrhea,"Xiang J, Wang H, Tao Q, Li W, Huang Y, Zhang Y, Yang L, Zhang S.",J Pathol. 2023 Mar 28. doi: 10.1002/path.6078. Online ahead of print.,Xiang J,J Pathol,2023,28/3/2023,,,10.1002/path.6078,CDK
36375386,Clinical outcomes of tucidinostat-based therapy after prior CDK4/6 inhibitor progression in hormone receptor-positive heavily pretreated metastatic breast cancer,"Zhou J, Wu X, Zhang H, Wang X, Yuan Y, Zhang S, Jiang Z, Wang T.",Breast. 2022 Dec;66:255-261. doi: 10.1016/j.breast.2022.10.018. Epub 2022 Nov 2.,Zhou J,Breast,2022,14/11/2022,PMC9661714,,10.1016/j.breast.2022.10.018,CDK
36806814,CDK4/6 inhibitor palbociclib promotes SARS-CoV-2 cell entry by down-regulating SKP2 dependent ACE2 degradation,"Xiao Y, Yan Y, Chang L, Ji H, Sun H, Song S, Feng K, Nuermaimaiti A, Lu Z, Wang L.",Antiviral Res. 2023 Apr;212:105558. doi: 10.1016/j.antiviral.2023.105558. Epub 2023 Feb 18.,Xiao Y,Antiviral Res,2023,22/2/2023,PMC9938000,,10.1016/j.antiviral.2023.105558,CDK
36399953,Health-related quality of life in breast cancer patients treated with CDK4/6 inhibitors: a systematic review,"Di Lauro V, Barchiesi G, Martorana F, Zucchini G, Muratore M, Fontanella C, Arpino G, Del Mastro L, Giuliano M, Puglisi F, De Laurentiis M.",ESMO Open. 2022 Dec;7(6):100629. doi: 10.1016/j.esmoop.2022.100629. Epub 2022 Nov 16.,Di Lauro V,ESMO Open,2022,18/11/2022,PMC9808450,,10.1016/j.esmoop.2022.100629,CDK
36257536,Optimizing CDK4/6 inhibitors in advanced HR+/HER2- breast cancer: A personalized approach,"Fontanella C, Giorgi CA, Russo S, Angelini S, Nicolardi L, Giarratano T, Frezzini S, Pestrin M, Palleschi D, Bolzonello S, Parolin V, Haspinger ER, De Rossi C, Greco F, Gerratana L.",Crit Rev Oncol Hematol. 2022 Dec;180:103848. doi: 10.1016/j.critrevonc.2022.103848. Epub 2022 Oct 17.,Fontanella C,Crit Rev Oncol Hematol,2022,18/10/2022,,,10.1016/j.critrevonc.2022.103848,CDK
36373891,Clinical features of CDK4/6 inhibitor-related interstitial lung disease in patients with breast cancer: a case series study,"Funasaka C, Naito Y, Kusuhara S, Nakao T, Nakajima H, Kawamoto M, Baba K, Mamishin K, Kondoh C, Harano K, Matsubara N, Hosono A, Sasaki T, Kawasaki T, Mukohara T.",Jpn J Clin Oncol. 2023 Jan 28;53(2):105-114. doi: 10.1093/jjco/hyac168.,Funasaka C,Jpn J Clin Oncol,2023,14/11/2022,,,10.1093/jjco/hyac168,CDK
36548336,Combination of androgen receptor inhibitor enzalutamide with the CDK4/6 inhibitor ribociclib in triple negative breast cancer cells,"Choupani E, Madjd Z, Saraygord-Afshari N, Kiani J, Hosseini A.",PLoS One. 2022 Dec 22;17(12):e0279522. doi: 10.1371/journal.pone.0279522. eCollection 2022.,Choupani E,PLoS One,2022,22/12/2022,PMC9779032,,10.1371/journal.pone.0279522,CDK
35405009,A Genome-Wide CRISPR Activation Screen Identifies PRRX2 as a Regulator of Enzalutamide Resistance in Prostate Cancer,"Rodríguez Y, Unno K, Truica MI, Chalmers ZR, Yoo YA, Vatapalli R, Sagar V, Yu J, Lysy B, Hussain M, Han H, Abdulkadir SA.",Cancer Res. 2022 Jun 6;82(11):2110-2123. doi: 10.1158/0008-5472.CAN-21-3565.,Rodríguez Y,Cancer Res,2022,11/4/2022,PMC9177667,NIHMS1797195,10.1158/0008-5472.CAN-21-3565,CDK
35814226,"Gilteritinib Enhances Anti-Tumor Efficacy of CDK4/6 Inhibitor, Abemaciclib in Lung Cancer Cells","Sun CY, Talukder M, Cao D, Chen CW.",Front Pharmacol. 2022 Jun 23;13:829759. doi: 10.3389/fphar.2022.829759. eCollection 2022.,Sun CY,Front Pharmacol,2022,11/7/2022,PMC9262324,,10.3389/fphar.2022.829759,CDK
36871040,CDK4/6 inhibition triggers ICAM1-driven immune response and sensitizes LKB1 mutant lung cancer to immunotherapy,"Bai X, Guo ZQ, Zhang YP, Fan ZZ, Liu LJ, Liu L, Long LL, Ma SC, Wang J, Fang Y, Tang XR, Zeng YJ, Pan X, Wu DH, Dong ZY.",Nat Commun. 2023 Mar 4;14(1):1247. doi: 10.1038/s41467-023-36892-4.,Bai X,Nat Commun,2023,4/3/2023,PMC9985635,,10.1038/s41467-023-36892-4,CDK
36505864,In vivo efficacy assessment of the CDK4/6 inhibitor palbociclib and the PLK1 inhibitor volasertib in human chordoma xenografts,"Passeri T, Dahmani A, Masliah-Planchon J, El Botty R, Courtois L, Vacher S, Marangoni E, Nemati F, Roman-Roman S, Adle-Biassette H, Mammar H, Froelich S, Bièche I, Decaudin D.",Front Oncol. 2022 Nov 25;12:960720. doi: 10.3389/fonc.2022.960720. eCollection 2022.,Passeri T,Front Oncol,2022,12/12/2022,PMC9732546,,10.3389/fonc.2022.960720,CDK
36135204,Clinico-Immunological Effects of a Single-Agent CDK4/6 Inhibitor in Advanced HR+/HER2- Breast Cancer Based on a Window of Opportunity Study,"D'Angelo A, Giudici F, Chapman R, Darlow J, Kilili H, Sobhani N, Cinelli M, Cappelletti MR, Strina C, Milani M, Generali D.",Curr Issues Mol Biol. 2022 Sep 15;44(9):4255-4267. doi: 10.3390/cimb44090292.,D'Angelo A,Curr Issues Mol Biol,2022,22/9/2022,PMC9497904,,10.3390/cimb44090292,CDK
36222720,Therapy-Induced Senescence Enhances the Efficacy of HER2-Targeted Antibody-Drug Conjugates in Breast Cancer,"Duro-Sánchez S, Nadal-Serrano M, Lalinde-Gutiérrez M, Arenas EJ, Bernadó Morales C, Morancho B, Escorihuela M, Pérez-Ramos S, Escrivá-de-Romaní S, Gandullo-Sánchez L, Pandiella A, Esteve-Codina A, Rodilla V, Dijcks FA, Dokter WHA, Cortés J, Saura C, Arribas J.",Cancer Res. 2022 Dec 16;82(24):4670-4679. doi: 10.1158/0008-5472.CAN-22-0787.,Duro-Sánchez S,Cancer Res,2022,12/10/2022,PMC9755966,,10.1158/0008-5472.CAN-22-0787,CDK
35792876,Rb Tumor Suppressor in Small Cell Lung Cancer: Combined Genomic and IHC Analysis with a Description of a Distinct Rb-Proficient Subset,"Febres-Aldana CA, Chang JC, Ptashkin R, Wang Y, Gedvilaite E, Baine MK, Travis WD, Ventura K, Bodd F, Yu HA, Quintanal-Villalonga A, Lai WV, Egger JV, Offin M, Ladanyi M, Rudin CM, Rekhtman N.",Clin Cancer Res. 2022 Nov 1;28(21):4702-4713. doi: 10.1158/1078-0432.CCR-22-1115.,Febres-Aldana CA,Clin Cancer Res,2022,6/7/2022,PMC9623236,NIHMS1823284,10.1158/1078-0432.CCR-22-1115,CDK
37182667,Immunomodulatory effects of CDK4/6 inhibitors,"Zhang S, Xu Q, Sun W, Zhou J, Zhou J.",Biochim Biophys Acta Rev Cancer. 2023 May 12;1878(4):188912. doi: 10.1016/j.bbcan.2023.188912. Online ahead of print.,Zhang S,Biochim Biophys Acta Rev Cancer,2023,14/5/2023,,,10.1016/j.bbcan.2023.188912,CDK
35784555,"The Combination of the CDK4/6 Inhibitor, Palbociclib, With the Vitamin D(3) Analog, Inecalcitol, Has Potent In Vitro and In Vivo Anticancer Effects in Hormone-Sensitive Breast Cancer, But Has a More Limited Effect in Triple-Negative Breast Cancer","Vanhevel J, Verlinden L, Loopmans S, Doms S, Janssens I, Bevers S, Stegen S, Wildiers H, Verstuyf A.",Front Endocrinol (Lausanne). 2022 Jun 17;13:886238. doi: 10.3389/fendo.2022.886238. eCollection 2022.,Vanhevel J,Front Endocrinol (Lausanne),2022,5/7/2022,PMC9248359,,10.3389/fendo.2022.886238,CDK
35917168,Targeting CDK4 and 6 in Cancer Therapy: Emerging Preclinical Insights Related to Abemaciclib,"Wander SA, O'Brien N, Litchfield LM, O'Dea D, Morato Guimaraes C, Slamon DJ, Goel S.",Oncologist. 2022 Oct 1;27(10):811-821. doi: 10.1093/oncolo/oyac138.,Wander SA,Oncologist,2022,2/8/2022,PMC9526495,,10.1093/oncolo/oyac138,CDK
36191999,Total Lesion Glycolysis Levels as Predictive Indicators in Patients With Metastatic and Recurrent Breast Cancer Undergoing Endocrine Therapy With or Without CDK4/6 Inhibitor,"Ozawa H, Higuchi T, Fujimoto Y, Bun A, Fukui R, Kanaoka H, Nagahashi M, Kitajima K, Yamakado K, Miyoshi Y.",Anticancer Res. 2022 Oct;42(10):4813-4824. doi: 10.21873/anticanres.15986.,Ozawa H,Anticancer Res,2022,3/10/2022,,,10.21873/anticanres.15986,CDK
36620595,Case report: (18)F-FES PET/CT predicted treatment responses of second-line and third-line CDK4/6 inhibitors after disease progression on first-line CDK4/6 inhibitor in a HR+/HER2- metastatic breast cancer patient,"Pan B, Hao Z, Xu Y, Wang Z, Yao R, Wang X, Ren C, Zhou Y, Sun Q, Huo L.",Front Oncol. 2022 Dec 23;12:1095779. doi: 10.3389/fonc.2022.1095779. eCollection 2022.,Pan B,Front Oncol,2022,9/1/2023,PMC9816999,,10.3389/fonc.2022.1095779,CDK
37157005,Social determinants of health and CDK4/6 inhibitor use and outcomes among patients with metastatic breast cancer,"Sathe C, Accordino MK, DeStephano D, Shah M, Wright JD, Hershman DL.",Breast Cancer Res Treat. 2023 Jul;200(1):85-92. doi: 10.1007/s10549-023-06957-5. Epub 2023 May 8.,Sathe C,Breast Cancer Res Treat,2023,8/5/2023,,,10.1007/s10549-023-06957-5,CDK
35671774,"Fulvestrant plus capivasertib versus placebo after relapse or progression on an aromatase inhibitor in metastatic, oestrogen receptor-positive, HER2-negative breast cancer (FAKTION): overall survival, updated progression-free survival, and expanded biomarker analysis from a randomised, phase 2 trial","Howell SJ, Casbard A, Carucci M, Ingarfield K, Butler R, Morgan S, Meissner M, Bale C, Bezecny P, Moon S, Twelves C, Venkitaraman R, Waters S, de Bruin EC, Schiavon G, Foxley A, Jones RH.",Lancet Oncol. 2022 Jul;23(7):851-864. doi: 10.1016/S1470-2045(22)00284-4. Epub 2022 Jun 4.,Howell SJ,Lancet Oncol,2022,7/6/2022,PMC9630162,,10.1016/S1470-2045(22)00284-4,CDK
37133743,A novel CDK4/6 inhibitor combined with irradiation demonstrates potent anti-tumor efficacy in diffuse midline glioma,"Zuo P, Li Y, Wang T, Lin X, Wu Z, Zhang J, Liao X, Zhang L.",J Neurooncol. 2023 May;163(1):159-171. doi: 10.1007/s11060-023-04323-5. Epub 2023 May 3.,Zuo P,J Neurooncol,2023,3/5/2023,,,10.1007/s11060-023-04323-5,CDK
35911672,Combination Approaches to Target PD-1 Signaling in Cancer,"Moore EK, Strazza M, Mor A.",Front Immunol. 2022 Jul 14;13:927265. doi: 10.3389/fimmu.2022.927265. eCollection 2022.,Moore EK,Front Immunol,2022,1/8/2022,PMC9330480,,10.3389/fimmu.2022.927265,CDK
35545724,Analysis of patients without and with an initial triple-negative breast cancer diagnosis in the phase 3 randomized ASCENT study of sacituzumab govitecan in metastatic triple-negative breast cancer,"O'Shaughnessy J, Brufsky A, Rugo HS, Tolaney SM, Punie K, Sardesai S, Hamilton E, Loirat D, Traina T, Leon-Ferre R, Hurvitz SA, Kalinsky K, Bardia A, Henry S, Mayer I, Zhu Y, Phan S, Cortés J.",Breast Cancer Res Treat. 2022 Sep;195(2):127-139. doi: 10.1007/s10549-022-06602-7. Epub 2022 May 11.,O'Shaughnessy J,Breast Cancer Res Treat,2022,11/5/2022,PMC9374646,,10.1007/s10549-022-06602-7,CDK
36688919,PD-1 blockade and CDK4/6 inhibition augment nonoverlapping features of T cell activation in cancer,"Ali LR, Garrido-Castro AC, Lenehan PJ, Bollenrucher N, Stump CT, Dougan M, Goel S, Shapiro GI, Tolaney SM, Dougan SK.",J Exp Med. 2023 Apr 3;220(4):e20220729. doi: 10.1084/jem.20220729. Epub 2023 Jan 23.,Ali LR,J Exp Med,2023,23/1/2023,PMC9884581,,10.1084/jem.20220729,CDK
36153348,Co-targeting CDK2 and CDK4/6 overcomes resistance to aromatase and CDK4/6 inhibitors in ER+ breast cancer,"Al-Qasem AJ, Alves CL, Ehmsen S, Tuttolomondo M, Terp MG, Johansen LE, Vever H, Hoeg LVA, Elias D, Bak M, Ditzel HJ.",NPJ Precis Oncol. 2022 Sep 24;6(1):68. doi: 10.1038/s41698-022-00311-6.,Al-Qasem AJ,NPJ Precis Oncol,2022,24/9/2022,PMC9509389,,10.1038/s41698-022-00311-6,CDK
36135712,Trilaciclib prior to gemcitabine plus carboplatin for metastatic triple-negative breast cancer: phase III PRESERVE 2,"Goel S, Tan AR, Rugo HS, Aftimos P, Andrić Z, Beelen A, Zhang J, Yi JS, Malik R, O'Shaughnessy J.",Future Oncol. 2022 Oct;18(33):3701-3711. doi: 10.2217/fon-2022-0773. Epub 2022 Sep 22.,Goel S,Future Oncol,2022,22/9/2022,,,10.2217/fon-2022-0773,CDK
35923930,Next-generation selective estrogen receptor degraders and other novel endocrine therapies for management of metastatic hormone receptor-positive breast cancer: current and emerging role,"Lloyd MR, Wander SA, Hamilton E, Razavi P, Bardia A.",Ther Adv Med Oncol. 2022 Jul 30;14:17588359221113694. doi: 10.1177/17588359221113694. eCollection 2022.,Lloyd MR,Ther Adv Med Oncol,2022,4/8/2022,PMC9340905,,10.1177/17588359221113694,CDK
36765923,CDK4/6 Inhibitors in Pancreatobiliary Cancers: Opportunities and Challenges,"Arsenijevic T, Coulonval K, Raspé E, Demols A, Roger PP, Van Laethem JL.",Cancers (Basel). 2023 Feb 3;15(3):968. doi: 10.3390/cancers15030968.,Arsenijevic T,Cancers (Basel),2023,11/2/2023,PMC9913743,,10.3390/cancers15030968,CDK
35599231,"Cancer cell cycle dystopia: heterogeneity, plasticity, and therapy","Witkiewicz AK, Kumarasamy V, Sanidas I, Knudsen ES.",Trends Cancer. 2022 Sep;8(9):711-725. doi: 10.1016/j.trecan.2022.04.006. Epub 2022 May 20.,Witkiewicz AK,Trends Cancer,2022,22/5/2022,PMC9388619,NIHMS1810625,10.1016/j.trecan.2022.04.006,CDK
37011871,CDK4/6 are necessary for UCP1-mediated thermogenesis of white adipose tissue,"Portales AE, Miguel I, Rodriguez MJ, Novaro V, Gambaro SE, Giovambattista A.",Life Sci. 2023 Jun 1;322:121652. doi: 10.1016/j.lfs.2023.121652. Epub 2023 Apr 1.,Portales AE,Life Sci,2023,3/4/2023,,,10.1016/j.lfs.2023.121652,CDK
37026029,A phase I trial of palbociclib and bosutinib with fulvestrant in patients with metastatic hormone receptor positive and HER2 negative (HR+ HER2-) breast cancer refractory to an aromatase inhibitor and a CDK4/6 inhibitor,"Roy T, Barrows E, Mainor C, Collins J, Lynce F, Isaacs C, Pohlmann PR.",Contemp Clin Trials Commun. 2023 Mar 13;33:101110. doi: 10.1016/j.conctc.2023.101110. eCollection 2023 Jun.,Roy T,Contemp Clin Trials Commun,2023,7/4/2023,PMC10070370,,10.1016/j.conctc.2023.101110,CDK
36719686,MYC-mediated resistance to trametinib and HCQ in PDAC is overcome by CDK4/6 and lysosomal inhibition,"Silvis MR, Silva D, Rohweder R, Schuman S, Gudipaty S, Truong A, Yap J, Affolter K, McMahon M, Kinsey C.",J Exp Med. 2023 Mar 6;220(3):e20221524. doi: 10.1084/jem.20221524. Epub 2023 Jan 31.,Silvis MR,J Exp Med,2023,31/1/2023,PMC9930170,,10.1084/jem.20221524,CDK
35732328,Molecular Genetics and Targeted Therapies for Paediatric High-grade Glioma,"Rallis KS, George AM, Wozniak AM, Bigogno CM, Chow B, Hanrahan JG, Sideris M.",Cancer Genomics Proteomics. 2022 Jul-Aug;19(4):390-414. doi: 10.21873/cgp.20328.,Rallis KS,Cancer Genomics Proteomics,2022,22/6/2022,PMC9247880,,10.21873/cgp.20328,CDK
36498861,Biomarkers of Response and Resistance to CDK4/6 Inhibitors in Breast Cancer: Hints from Liquid Biopsy and microRNA Exploration,"Krasniqi E, Goeman F, Pulito C, Palcau AC, Ciuffreda L, Di Lisa FS, Filomeno L, Barba M, Pizzuti L, Cappuzzo F, Sanguineti G, Maugeri-Saccà M, Ciliberto G, Fanciulli M, Blandino G, Vici P.",Int J Mol Sci. 2022 Nov 22;23(23):14534. doi: 10.3390/ijms232314534.,Krasniqi E,Int J Mol Sci,2022,11/12/2022,PMC9739115,,10.3390/ijms232314534,CDK
35936714,CDK4/6 inhibitors improve the anti-tumor efficacy of lenvatinib in hepatocarcinoma cells,"Digiacomo G, Fumarola C, La Monica S, Bonelli M, Cavazzoni A, Galetti M, Terenziani R, Eltayeb K, Volta F, Zoppi S, Bertolini P, Missale G, Alfieri R, Petronini PG.",Front Oncol. 2022 Jul 22;12:942341. doi: 10.3389/fonc.2022.942341. eCollection 2022.,Digiacomo G,Front Oncol,2022,8/8/2022,PMC9354684,,10.3389/fonc.2022.942341,CDK
37105116,Inhibiting CDK4/6 in pancreatic ductal adenocarcinoma via microRNA-21,"Mortoglou M, Miralles F, Mould RR, Sengupta D, Uysal-Onganer P.",Eur J Cell Biol. 2023 Apr 25;102(2):151318. doi: 10.1016/j.ejcb.2023.151318. Online ahead of print.,Mortoglou M,Eur J Cell Biol,2023,27/4/2023,,,10.1016/j.ejcb.2023.151318,CDK
